n,k,repetition,centers_compromised,expected_result,actual_result,matches_expected,time_seconds
10,5,7,7,Decrypt,Decrypt,True,0.007878300002630567
10,5,7,8,Decrypt,Decrypt,True,0.009804599998460617
10,5,7,9,Decrypt,Decrypt,True,0.011547199999768054
10,5,7,10,Decrypt,Decrypt,True,0.013613900002383161
10,5,8,0,Fail,Fail,True,7.999988156370819e-07
10,5,8,1,Fail,Fail,True,0.0006063000000722241
10,5,8,2,Fail,Fail,True,0.0012933999969391152
10,5,8,3,Fail,Fail,True,0.0024724000031710602
10,5,8,4,Fail,Fail,True,0.0035199000012653414
10,5,8,5,Decrypt,Decrypt,True,0.004804500000318512
10,5,8,6,Decrypt,Decrypt,True,0.006315799997537397
10,5,8,7,Decrypt,Decrypt,True,0.007825700002285885
10,5,8,8,Decrypt,Decrypt,True,0.009606699997675605
10,5,8,9,Decrypt,Decrypt,True,0.011383299999579322
10,5,8,10,Decrypt,Decrypt,True,0.013348700002097758
10,5,9,0,Fail,Fail,True,5.000001692678779e-07
10,5,9,1,Fail,Fail,True,0.0006193000008352101
10,5,9,2,Fail,Fail,True,0.0014626000011048745
10,5,9,3,Fail,Fail,True,0.002493199997843476
10,5,9,4,Fail,Fail,True,0.0036581999993359204
10,5,9,5,Decrypt,Decrypt,True,0.0048749999987194315
10,5,9,6,Decrypt,Decrypt,True,0.006400500002200715
10,5,9,7,Decrypt,Decrypt,True,0.0077831999988120515
10,5,9,8,Decrypt,Decrypt,True,0.009486499999184161
10,5,9,9,Decrypt,Decrypt,True,0.011316800002532545
10,5,9,10,Decrypt,Decrypt,True,0.013333200000488432
10,5,10,0,Fail,Fail,True,1.0000003385357559e-06
10,5,10,1,Fail,Fail,True,0.0006396000026143156
10,5,10,2,Fail,Fail,True,0.0015134999994188547
10,5,10,3,Fail,Fail,True,0.002490900002158014
10,5,10,4,Fail,Fail,True,0.0036199000023771077
10,5,10,5,Decrypt,Decrypt,True,0.005337899998266948
10,5,10,6,Decrypt,Decrypt,True,0.006454700000176672
10,5,10,7,Decrypt,Decrypt,True,0.008080899999185931
10,5,10,8,Decrypt,Decrypt,True,0.009720300000481075
10,5,10,9,Decrypt,Decrypt,True,0.011616400002822047
10,5,10,10,Decrypt,Decrypt,True,0.014414299999771174
10,8,1,0,Fail,Fail,True,3.9999940781854093e-07
10,8,1,1,Fail,Fail,True,0.0006069999981264118
10,8,1,2,Fail,Fail,True,0.0016037999994296115
10,8,1,3,Fail,Fail,True,0.0024450999990222044
10,8,1,4,Fail,Fail,True,0.0038242999980866443
10,8,1,5,Fail,Fail,True,0.005115799998748116
10,8,1,6,Fail,Fail,True,0.006496000001789071
10,8,1,7,Fail,Fail,True,0.008017899999686051
10,8,1,8,Decrypt,Decrypt,True,0.009416199998668162
10,8,1,9,Decrypt,Decrypt,True,0.011499000000185333
10,8,1,10,Decrypt,Decrypt,True,0.013534800000343239
10,8,2,0,Fail,Fail,True,3.9999940781854093e-07
10,8,2,1,Fail,Fail,True,0.000601800002186792
10,8,2,2,Fail,Fail,True,0.001551999997900566
10,8,2,3,Fail,Fail,True,0.002582799999800045
10,8,2,4,Fail,Fail,True,0.0035678999993251637
10,8,2,5,Fail,Fail,True,0.004835299998376286
10,8,2,6,Fail,Fail,True,0.006271900001593167
10,8,2,7,Fail,Fail,True,0.007856500000343658
10,8,2,8,Decrypt,Decrypt,True,0.009587699998519383
10,8,2,9,Decrypt,Decrypt,True,0.01188229999752366
